method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
l1,tomo4_20deg160,43,3,l1_tomo4_20deg160_bary_perm0003_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,8868.733205904986,8806.529616175296,1.0070633487242737,True,True,-18.18057449456125,-18.166497454314268,2.053614762273546,1.1990102828631193,True,True,0.037115981578826895,-0.04793282985687253,-0.11292028427124023,0.016657650470733643,-0.02196812629699707,-0.0847238302230835,0.9011766948565776,-0.9441375252861229,-0.6732585683119726,0.40444805059002614,-0.432708280715999,-0.505144359191342
l1,tomo4_20deg160,43,4,l1_tomo4_20deg160_bary_perm0004_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,8541.639266867667,8806.529616175296,0.9699211425098606,True,True,-18.105416439972217,-18.166497454314268,0.5029800535051439,1.2649740339447946,True,True,-0.020224804282188424,0.019952449798584015,-0.050818443298339844,-0.04068313539028168,0.04591715335845947,-0.022621989250183105,-0.4910586087676301,0.39300530831333286,-0.30299208507746755,-0.9877872530341816,0.9044345528834569,-0.134877875956837
l1,tomo4_20deg160,43,5,l1_tomo4_20deg160_bary_perm0005_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,13662.086943621944,8806.529616175296,1.5513587688989607,True,True,-19.04475979834604,-18.166497454314268,1.2706810843776726,0.8106293839268109,True,True,0.0019897425174713046,0.0037117338180542303,-0.11895537376403809,-0.018468588590621948,0.029676437377929688,-0.09075891971588135,0.04831098381979179,0.0731103753307,-0.7092412594447346,-0.4484176604467597,0.584539619900824,-0.541127050324104
l1,tomo4_20deg160,43,6,l1_tomo4_20deg160_bary_perm0006_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,17866.1574875135,8806.529616175296,2.0287398403450587,True,True,-19.58132711830297,-18.166497454314268,1.8889723568400758,1.5923202959406118,True,True,-0.0009893274307251065,-0.04040857791900632,-0.19175386428833008,-0.02144765853881836,-0.01444387435913086,-0.16355741024017334,-0.024020887666901903,-0.7959316166122838,-1.1432838038996151,-0.5207495319334534,-0.28450237204215983,-0.9751695947789845
l1,tomo4_20deg160,43,7,l1_tomo4_20deg160_bary_perm0007_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,11319.840353048638,8806.529616175296,1.2853917316370624,True,True,-18.668624497140296,-18.166497454314268,3.653485156574272,3.0177342503601725,True,True,0.04283251404762267,-0.11413803339004513,-0.2679448127746582,0.02237418293952942,-0.08817332983016968,-0.23974835872650146,1.0399742051778045,-2.2481877391274314,-1.597553018924087,0.5432455609112529,-1.7367584945573074,-1.4294388098034565
l1,tomo4_20deg160,43,8,l1_tomo4_20deg160_bary_perm0008_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,15064.06227885767,8806.529616175296,1.7105560232476729,True,True,-19.240134409225348,-18.166497454314268,1.6663540078484556,1.4036333359328368,True,True,6.719470024107999e-05,-0.03707399606704709,-0.16407513618469238,-0.020391136407852173,-0.01110929250717163,-0.13587868213653564,0.0016314885205589878,-0.7302500395601123,-0.9782564044734021,-0.4950971557459925,-0.21882079498998827,-0.8101421953527715
l1,tomo4_20deg160,43,9,l1_tomo4_20deg160_bary_perm0009_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,12100.42841684305,8806.529616175296,1.3740291515760898,True,True,-18.801992274617415,-18.166497454314268,1.5350432194754804,1.696488360300066,True,True,-0.0024010634422302335,-0.03582390785217282,-0.07307446002960205,-0.022859394550323486,-0.009859204292297363,-0.04487800598144531,-0.058297863210610756,-0.7056269326602072,-0.4356879426686905,-0.5550265074771622,-0.19419768809008311,-0.2675737335480599
l1,tomo4_20deg160,43,10,l1_tomo4_20deg160_bary_perm0010_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,15215.911357458304,8806.529616175296,1.7277988061847482,True,True,-19.260193918308527,-18.166497454314268,1.6583156934384093,2.016122524007683,True,True,-0.033385241627693185,0.06993076562881473,-0.07486402988433838,-0.05384357273578644,0.09589546918869019,-0.04666757583618164,-0.8105942622893091,1.3774329660756834,-0.446357799249993,-1.3073229065558605,1.8888622106458075,-0.27824359012936245
l1,tomo4_20deg160,43,11,l1_tomo4_20deg160_bary_perm0011_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,16180.338856661734,8806.529616175296,1.8373115815045549,True,True,-19.38310426665308,-18.166497454314268,1.0000153954314728,1.0102103754470877,True,True,-0.015840778350830087,0.0245352125167847,-0.12389540672302246,-0.03629910945892334,0.050499916076660156,-0.09569895267486572,-0.3846143809463513,0.4832724230373165,-0.7386949536046851,-0.8813430252129028,0.9947016676074405,-0.5705807444840545
l1,tomo4_20deg160,43,12,l1_tomo4_20deg160_bary_perm0012_s43.npy,l1_tomo4_20deg160_nobnt_s43.npy,100000,100000,6,14459.154600735636,8806.529616175296,1.6418674813944807,True,True,-19.158166058648426,-18.166497454314268,0.8335277100588614,1.607307051410366,True,True,-0.03276472747325898,0.03434405088424686,-0.06604611873626709,-0.053223058581352234,0.060308754444122314,-0.03784966468811035,-0.7955281675501163,0.6764780486980657,-0.3937832394765486,-1.2922568118166677,1.1879072932681898,-0.225669030355918
