method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
cnn,tomo4_20deg160,41,10,cnn_tomo4_20deg160_bary_perm0010_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,420152.5458203882,416350.8423099233,1.0091310095336254,True,True,-25.896746257302162,-25.878567109486553,1.4190578135279202,0.8004299232942405,True,True,0.007858654260635367,-0.015441086292266815,0.025539278984069824,-0.004992842674255371,0.0005587339401245117,-0.02882486581802368,0.6002270874172658,-0.9680251948111374,0.4567431238553766,-0.3813425704846623,0.035027880875680484,-0.515502386212557
cnn,tomo4_20deg160,41,11,cnn_tomo4_20deg160_bary_perm0011_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,420776.9264160729,416350.8423099233,1.0106306596657606,True,True,-25.899716212481696,-25.878567109486553,0.6404268231147926,1.289735374926367,True,True,-0.002275536060333261,-0.008182730674743621,-0.0038336515426635742,-0.015127032995223999,0.007817089557647705,-0.05819779634475708,-0.1738005435165137,-0.512987836838448,-0.06856082281967828,-1.1553702014184417,0.49006523884836994,-1.0408063328876118
cnn,tomo4_20deg160,41,12,cnn_tomo4_20deg160_bary_perm0012_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,430490.458334032,416350.8423099233,1.033960820027796,True,True,-25.94536087691141,-25.878567109486553,2.6809628127030174,2.5805554502518246,True,True,-0.009357193708419809,-0.03605189561843869,-0.018032073974609375,-0.022208690643310547,-0.020052075386047363,-0.07239621877670288,-0.7146823030677394,-2.2601481928656826,-0.32248466379538593,-1.6962519609696673,-1.2570951171788647,-1.2947301738633195
cnn,tomo4_20deg160,41,13,cnn_tomo4_20deg160_bary_perm0013_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,430194.1530620969,416350.8423099233,1.033249147943044,True,True,-25.94398380902978,-25.878567109486553,1.8405856640705307,1.43101962457626,True,True,-0.0004448390007019132,-0.02850189447402951,0.004372060298919678,-0.013296335935592651,-0.012502074241638184,-0.04999208450317383,-0.03397584483368394,-1.7868271330448273,0.07818969673569175,-1.015545502735612,-0.7837740573580095,-0.8940558133322417
cnn,tomo4_20deg160,41,14,cnn_tomo4_20deg160_bary_perm0014_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,422376.960234265,416350.8423099233,1.0144736537361343,True,True,-25.90730692997324,-25.878567109486553,3.1016622055421714,2.336113806849859,True,True,0.011652132272720328,-0.030719544887542694,0.028842031955718994,-0.0011993646621704102,-0.014719724655151367,-0.02552211284637451,0.889964768050528,-1.9258550118436932,0.5158093845174182,-0.09160488985140003,-0.9228019361568753,-0.45643612555051527
cnn,tomo4_20deg160,41,15,cnn_tomo4_20deg160_bary_perm0015_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,426869.9204125134,416350.8423099233,1.0252649377247085,True,True,-25.92846921952702,-25.878567109486553,2.828909380453397,2.7686256043293356,True,True,-0.013795742988586435,-0.037307050228118865,-0.04121363162994385,-0.026647239923477173,-0.02130722999572754,-0.09557777643203735,-1.0536891378813404,-2.338835745189139,-0.7370624232511357,-2.0352587957832684,-1.335782669502321,-1.7093079333190693
cnn,tomo4_20deg160,41,16,cnn_tomo4_20deg160_bary_perm0016_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,426077.2289020308,416350.8423099233,1.0233610349822886,True,True,-25.924751794646305,-25.878567109486553,1.6065386822570753,1.3181564607480074,True,True,0.00016396284103392667,-0.02494260311126706,0.010465025901794434,-0.012687534093856812,-0.008942782878875732,-0.04389911890029907,0.01252312867502294,-1.5636897416973492,0.1871559735337261,-0.9690465292269052,-0.5606366660105314,-0.7850895365342074
cnn,tomo4_20deg160,41,17,cnn_tomo4_20deg160_bary_perm0017_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,415120.36079911224,416350.8423099233,0.9970446042477437,True,True,-25.872647566370752,-25.878567109486553,2.523407265354965,1.2549852660027558,True,True,0.02444516658782958,-0.0324483776092529,0.10867607593536377,0.011593669652938843,-0.016448557376861572,0.054311931133270264,1.867069176963199,-2.034238165758683,1.9435572336252473,0.8854995190612709,-1.0311850900718649,0.9713117235573138
cnn,tomo4_20deg160,41,18,cnn_tomo4_20deg160_bary_perm0018_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,425117.44021744124,416350.8423099233,1.0210557948168921,True,True,-25.920241479315727,-25.878567109486553,2.9794035385701356,2.2340835455544807,True,True,0.009935846328735343,-0.03076031446456906,0.023445606231689453,-0.0029156506061553955,-0.014760494232177734,-0.030918538570404053,0.7588785439760753,-1.9284109186624434,0.4192999903256645,-0.22269111392585275,-0.9253578429756256,-0.552945519742269
cnn,tomo4_20deg160,41,19,cnn_tomo4_20deg160_bary_perm0019_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,423861.3563785501,416350.8423099233,1.0180389068674829,True,True,-25.914323382136168,-25.878567109486553,2.015710737438021,2.0712617353110807,True,True,-0.00883282184600831,-0.017799046039581268,-0.04736626148223877,-0.021684318780899048,-0.0017992258071899414,-0.10173040628433228,-0.6746319095448444,-1.1158492792406147,-0.8470957323518302,-1.6562015674467725,-0.11279620355379678,-1.8193412424197637
cnn,tomo4_20deg160,42,0,cnn_tomo4_20deg160_bary_perm0000_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,417839.62830402603,420408.67713118426,0.9938891631716807,True,True,-25.885705947088926,-25.897965115901535,2.859892812710616,1.2790466045662252,True,True,0.013817121982574454,-0.04032060146331784,0.053611159324645996,-0.0009454786777496338,-0.01875406503677368,-0.004003345966339111,1.0649719502013595,-2.594245441580484,0.9780005812714895,-0.07287395107220582,-1.2066448903798321,-0.07303096466169129
cnn,tomo4_20deg160,42,1,cnn_tomo4_20deg160_bary_perm0001_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,423413.5294355995,420408.67713118426,1.0071474554828888,True,True,-25.9122091828738,-25.897965115901535,2.5243548551640687,1.5573668951814987,True,True,0.0012506747245788485,-0.036910858154296844,0.003226339817047119,-0.01351192593574524,-0.015344321727752686,-0.05438816547393799,0.09639731792062488,-2.3748610396777803,0.058856444370917714,-1.0414485833529403,-0.9872604884771282,-0.9921751015622631
cnn,tomo4_20deg160,42,2,cnn_tomo4_20deg160_bary_perm0002_s42.npy,cnn_tomo4_20deg160_nobnt_s42.npy,100000,100000,6,418753.8284030525,420408.67713118426,0.9960637141473287,True,True,-25.890077009069344,-25.897965115901535,1.7240731373443712,0.7716914691036889,True,True,0.006789674758911124,-0.0259062314033508,0.029464662075042725,-0.007972925901412964,-0.004339694976806641,-0.028149843215942383,0.5233226701153618,-1.6668184572547733,0.5375085523120251,-0.6145232311582035,-0.27921790605412145,-0.5135229936211556
